trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
240,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,0,29.18840339736976,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
241,False,"{'a': 0.5, 'e': 0.2996919995132463}",20,9,19.402703171657873,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.2981972794298874}",25,18,10.958949198394734,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.29671001429404525}",20,0,-15.824638904857078,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
244,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,12,-5.999302411520638,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.29375770032353277}",20,0,-23.98910394623335,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
246,False,"{'a': 0.5, 'e': 0.2922925776808594}",30,14,29.547652848448823,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.29083476236785155}",25,13,-29.905985072623572,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
248,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,0,-26.77961722688498,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
249,False,"{'a': 0.5, 'e': 0.2879409081307702}",20,0,20.362766275009513,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.2865047968601901}",25,16,6.703678778330685,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.28507584822445353}",20,12,1.9620228373053232,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,13,-33.55366551475673,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
253,False,"{'a': 0.5, 'e': 0.2822392961405233}",25,1,33.116856007139376,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.2808316217783798}",30,0,10.9652373074478,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
255,False,"{'a': 0.5, 'e': 0.2794309682214073}",20,8,-13.459937811545634,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.27803730045319414}",35,20,-25.361652049190592,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
257,False,"{'a': 0.5, 'e': 0.2766505836319734}",30,6,13.113829475427046,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,0,-21.790685457303407,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
259,False,"{'a': 0.5, 'e': 0.2738978643314456}",20,10,-17.694882124715566,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,4,-29.529250450306126,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
